"rank","title","growth..30.days.","price","X5.star.ratings","X4.star.ratings","X3.star.ratings","X2.star.ratings","X1.star.ratings","category_num2","int_installs"
23,"Solitaire",0.1,0,241434,65691,20182,7769,17376,5,1e+07
24,"Dummy & Toon Poker Texas slot Online Card Game",0.1,0,257688,35649,17769,7549,31379,5,5e+06
25,"PokerStars: Free Poker Games with Texas Holdem",0.2,0,226350,33959,12165,8180,56702,5,1e+07
26,"피망 뉴맞고 : 고스톱으로 대한민국 1등",0.2,0,183861,41538,23752,9892,64071,5,5e+06
27,"Spider Solitaire",0.1,0,245984,49788,9036,2286,5621,5,1e+07
28,"Order & Chaos Duels",0,0,205329,59547,18575,7013,21299,5,1e+06
29,"Conquian Zingplay: el mejor juego de cartas gratis",3.6,0,256974,32056,10423,2561,5261,5,1e+06
30,"GWENT: The Witcher Card Game",2.7,0,242077,41812,8352,3343,10346,5,1e+06
31,"Spades Plus - Card Game",0.4,0,237226,24629,11782,6338,23126,5,1e+07
32,"Governor of Poker 2 - OFFLINE POKER GAME",0.1,0,182578,41909,20389,10034,34482,5,5e+06
33,"Callbreak Multiplayer",0.8,0,181358,27280,18064,11478,43023,5,5e+07
34,"Buraco Canasta Jogatina: Card Games For Free",0.3,0,174842,36811,18560,8567,23068,5,1e+07
35,"Governor of Poker 3 - Free Texas Holdem Card Games",1.1,0,185646,26731,10004,5815,29963,5,5e+06
38,"Texas Hold'em & Omaha Poker: Pokerist",0.5,0,158710,26096,11836,6062,40315,5,1e+07
39,"Indian Rummy - Play Rummy Game Online",0.5,0,154997,28244,14716,7348,31983,5,1e+07
40,"RummyCircle - Play Indian Rummy Online | Card Game",0.3,0,151592,29078,11161,5684,32104,5,1e+07
41,"FreeCell Solitaire",0.7,0,166986,43722,8461,2424,6156,5,1e+07
42,"Spades Free",0.1,0,153066,44243,13048,4969,9078,5,5e+06
43,"Absolute Bingo- Free Bingo Games Offline or Online",2,0,172564,27565,9081,3057,7443,5,1e+07
44,"TopFun Domino QiuQiu:Domino99 (KiuKiu)",0.9,0,140865,13924,11882,7214,33824,5,5e+06
